URL,Verdict,Title,Series,Primary Category,All Categories,Year,Published Date,Word Count,Image Count,Images Missing Alt,Internal Links,External Links,Yoast SEO Title,Yoast SEO Title Length,Yoast Meta Description,Meta Description Length,SEO Score (0-100),SEO Action Items,Reason / Notes
https://seatofthesoul.com/winter-solstice,DROP,Winter Solstice,Other,SOUL THOUGHTS,Exclude; SOUL THOUGHTS,2021,2021-03-20,281,1,1,15,0,Winter Solstice - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/soul-feast-50-whats-real-meaning,KEEP,Soul Feast #50: What’s Real? Meaning,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-06,390,0,0,1,0,Soul Feast #50: What's Real? Meaning - The Seat of the Soul Institute,69,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (390 words, ideal 500+); Title too long (69 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-51-whats-real-connection,KEEP,Soul Feast #51: What’s Real? Connection,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-07,397,0,0,1,0,Soul Feast #51: What's Real? Connection - The Seat of the Soul Institute,72,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (397 words, ideal 500+); Title too long (72 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-52-whats-real-reverence,KEEP,Soul Feast #52: What’s Real? Reverence,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-07,353,0,0,1,0,Soul Feast #52: What's Real? Reverence - The Seat of the Soul Institute,71,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (353 words, ideal 500+); Title too long (71 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-53-whats-real-love-or-fear,KEEP,Soul Feast #53: What’s Real? Love or Fear,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-07,387,0,0,0,1,Soul Feast #53: What's Real? Love or Fear - The Seat of the Soul Institute,74,,0,42,"Add meta description (120-160 chars); Add internal links (currently 0, aim 3+); Short content (387 words, ideal 500+); Title too long (74 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-54-whats-real-authentic-power,KEEP,Soul Feast #54: What’s Real? Authentic Power,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-07,385,0,0,0,1,Soul Feast #54: What's Real? Authentic Power - The Seat of the Soul Institute,77,,0,42,"Add meta description (120-160 chars); Add internal links (currently 0, aim 3+); Short content (385 words, ideal 500+); Title too long (77 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-55-whats-real-creating-authentic-power,KEEP,Soul Feast #55: What’s Real? Creating Authentic Power,Soul Feast,Authentic Power,Authentic Power; Podcast; What's Real MiniSeries,2026,2026-02-07,383,0,0,1,0,Soul Feast #55: What's Real? Creating Authentic Power - The Seat of the Soul Institute,86,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (383 words, ideal 500+); Title too long (86 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-56-whats-real-what-should-i-do-now,KEEP,Soul Feast #56: What’s Real? What Should I Do Now?,Soul Feast,Authentic Power,Authentic Power; Multisensory Perception; Podcast; The New Consciousness; What's Real MiniSeries,2026,2026-02-07,386,0,0,1,0,Soul Feast #56: What's Real? What Should I Do Now? - The Seat of the Soul Institute,83,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (386 words, ideal 500+); Title too long (83 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-57-whats-real-the-new-consciousness,KEEP,Soul Feast #57: What’s Real? The New Consciousness,Soul Feast,Podcast,Podcast; The New Consciousness; What's Real MiniSeries,2026,2026-02-07,390,0,0,0,1,Soul Feast #57: What's Real? The New Consciousness - The Seat of the Soul Institute,83,,0,42,"Add meta description (120-160 chars); Add internal links (currently 0, aim 3+); Short content (390 words, ideal 500+); Title too long (83 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
https://seatofthesoul.com/soul-feast-58-moving-beyond-stress,KEEP,Soul Feast #58: Moving Beyond Stress,Soul Feast,Emotional Awareness,Emotional Awareness; Love & Fear; Podcast; Responsible Choice; The New Consciousness,2026,2026-02-07,408,0,0,1,0,Soul Feast #58: Moving Beyond Stress - The Seat of the Soul Institute,69,,0,52,"Add meta description (120-160 chars); Add more internal links (currently 1, aim 3+); Short content (408 words, ideal 500+); Title too long (69 chars, aim 30-65)",Slug or title matches evergreen series (Soul Snack / Feast / Seed / Wisdom Wednesday)
